"","users[, 1]","Book.Title","Book.Author","Publisher","ratings[, 3]"
"1",1,"Classical Mythology","Mark P. O. Morford","Oxford University Press",0
"2",2,"Clara Callan","Richard Bruce Wright","HarperFlamingo Canada",5
"3",3,"Decision in Normandy","Carlo D'Este","HarperPerennial",0
"4",4,"Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata","Farrar Straus Giroux",3
"5",5,"The Mummies of Urumchi","E. J. W. Barber","W. W. Norton &amp; Company",6
"6",6,"The Kitchen God's Wife","Amy Tan","Putnam Pub Group",0
"7",7,"What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","Berkley Publishing Group",8
"8",8,"PLEADING GUILTY","Scott Turow","Audioworks",6
"9",9,"Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly","Random House",7
"10",10,"Where You'll Find Me: And Other Stories","Ann Beattie","Scribner",10
"11",11,"Nights Below Station Street","David Adams Richards","Emblem Editions",0
"12",12,"Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust","Adam Lebor","Citadel Press",0
"13",13,"The Middle Stories","Sheila Heti","House of Anansi Press",0
"14",14,"Jane Doe","R. J. Kaiser","Mira Books",0
"15",15,"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield","Health Communications",0
"16",16,"The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman","Brilliance Audio - Trade",0
"17",17,"More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson","Kensington Publishing Corp.",9
"18",18,"Goodbye to the Buttermilk Sky","Julia Oliver","River City Pub",0
"19",19,"The Testament","John Grisham","Dell",0
"20",20,"Beloved (Plume Contemporary Fiction)","Toni Morrison","Plume",9
"21",21,"Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source","The Onion","Three Rivers Press",8
"22",22,"New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown","Ryland Peters &amp; Small Ltd",7
"23",23,"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish","Cypress House",0
"24",24,"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp; Ashley Olsen","HarperEntertainment",7
"25",25,"Tell Me This Isn't Happening","Robynn Clairday","Scholastic",6
"26",26,"Flood : Mississippi 1927","Kathleen Duey","Aladdin",0
